clauses,preds,trial,typed,time
3,0,1,0,8.98
3,0,2,0,8.85
3,0,3,0,8.87
3,0,4,0,8.94
3,0,5,0,8.68
3,0,6,0,9.05
3,0,7,0,5.89
3,0,8,0,8.68
3,0,9,0,8.89
3,0,10,0,8.99
3,1,1,0,8.92
3,1,2,0,28.38
3,1,3,0,9.26
3,1,4,0,9.00
3,1,5,0,9.49
3,1,6,0,8.30
3,1,7,0,21.50
3,1,8,0,9.43
3,1,9,0,8.87
3,1,10,0,28.02
3,2,1,0,14.83
3,2,2,0,10.05
3,2,3,0,8.67
3,2,4,0,20.52
3,2,5,0,8.83
3,2,6,0,28.78
3,2,7,0,3.25
3,2,8,0,8.87
3,2,9,0,9.39
3,2,10,0,8.85
3,3,1,0,22.75
3,3,2,0,6.08
3,3,3,0,29.67
3,3,4,0,8.87
3,3,5,0,23.73
3,3,6,0,8.97
3,3,7,0,51.03
3,3,8,0,9.41
3,3,9,0,8.66
3,3,10,0,28.44
3,4,1,0,21.25
3,4,2,0,21.56
3,4,3,0,9.82
3,4,4,0,151.47
3,4,5,0,21.17
3,4,6,0,23.28
3,4,7,0,23.23
3,4,8,0,9.05
3,4,9,0,28.50
3,4,10,0,6.42
3,5,1,0,9.12
3,5,2,0,23.52
3,5,3,0,9.86
3,5,4,0,8.92
3,5,5,0,23.34
3,5,6,0,9.27
3,5,7,0,22.73
3,5,8,0,8.98
3,5,9,0,9.84
3,5,10,0,9.46
3,6,1,0,309.31
3,6,2,0,23.39
3,6,3,0,9.44
3,6,4,0,10.34
3,6,5,0,24.83
3,6,6,0,54.07
3,6,7,0,9.71
3,6,8,0,14.04
3,6,9,0,29.76
3,6,10,0,34.85
3,7,1,0,23.78
3,7,2,0,23.59
3,7,3,0,127.96
3,7,4,0,9.83
3,7,5,0,55.91
3,7,6,0,23.68
3,7,7,0,9.45
3,7,8,0,345.72
3,7,9,0,52.33
3,7,10,0,334.11
3,8,1,0,9.89
3,8,2,0,109.32
3,8,3,0,77.01
3,8,4,0,8.95
3,8,5,0,23.35
3,8,6,0,22.14
3,8,7,0,92.62
3,8,8,0,59.62
3,8,9,0,55.19
3,8,10,0,10.05
3,9,1,0,26.49
3,9,2,0,33.45
3,9,3,0,15.64
3,9,4,0,10.47
3,9,5,0,63.17
3,9,6,0,116.84
3,9,7,0,338.60
3,9,8,0,311.97
3,9,9,0,56.86
3,9,10,0,23.45
3,10,1,0,157.56
3,10,2,0,166.37
3,10,3,0,24.50
3,10,4,0,380.37
3,10,5,0,31.30
3,10,6,0,180.80
3,10,7,0,228.28
3,10,8,0,59.97
3,10,9,0,310.45
3,10,10,0,234.64
